,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
160,7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,2
26,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,2
3431,7.5901104725644855,0.42843977012321466,0.3152088378051588,2.066154661590279,0.07476044189025793,13.578011493839266,21.338453384097207,0.9934903934609627,3.2247911621948413,0.7076044189025794,12.04637560671925,5
1014,8.0,0.58,0.16,2.0,0.12,3.0,7.0,0.99454,3.22,0.58,11.2,3
2294,7.416280864998246,0.7119097219648496,0.0688040123571178,2.44020061785589,0.05823919752857635,4.88040123571178,9.23919752857644,0.9962721604942847,3.397939814643233,0.5607638887859399,10.9,1
1366,7.3,0.74,0.08,1.7,0.094,10.0,45.0,0.99576,3.24,0.5,9.8,2
327,10.3,0.44,0.5,4.5,0.107,5.0,13.0,0.998,3.28,0.83,11.5,2
528,8.2,0.42,0.49,2.6,0.084,32.0,55.0,0.9988,3.34,0.75,8.7,3
2314,7.655024708979476,0.7410731934985341,0.03503412585131936,2.861755710524921,0.08082537063469215,13.77853613002932,27.167804195043978,0.9968034737535625,3.3855707226005864,0.4833560839008796,10.183902097521988,1
3280,11.249560156205813,0.5273866556376517,0.5500135336552058,2.849627824481842,0.1074861280034141,6.499661658619856,20.499661658619857,0.9979791744470324,3.1549898497585955,0.7799593990343827,11.649627824481842,4
4065,5.463292570619954,0.4051746377401615,0.26779755423719726,1.990734148587601,0.06213114582485178,21.13114582485179,52.22380433897578,0.9919603704246884,3.651432699548247,0.729807563446361,13.79615126892722,5
3426,8.99116379934259,0.3122650860197223,0.5068512939145366,2.5955818996712945,0.07877349139802776,8.248599103615758,18.430926702300937,0.9959482359982735,3.1683976290295837,0.8750280179276848,11.638674569901388,5
2622,7.264446321413433,0.5691861080282711,0.13674020893286076,2.342964214275622,0.07527393642968154,4.607410535689055,8.21482107137811,0.9956525979106714,3.4035553678586568,0.5617776839293284,11.096294732155473,1
594,7.9,0.72,0.17,2.6,0.096,20.0,38.0,0.9978,3.4,0.53,9.5,2
3821,6.124208290310715,0.38402533471005706,0.3074524974186429,1.9775158341937857,0.06517135813542929,24.17135813542929,55.396199793491434,0.9923318050591546,3.5536171730340143,0.7152674176131643,13.505348352263285,5
